target,chembl_id,pathway,molecule_id,SMILES,IC50_nM,pChEMBL,assay_id,canonical_SMILES,lipinski_ok,qed_score
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL50117,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,890.0,6.05,CHEMBL816447,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,True,0.4876517693247314
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3142655,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,50.0,7.3,CHEMBL808337,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,True,0.4821248095741283
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3142745,Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,38.0,7.42,CHEMBL808337,Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,True,0.5639451735528522
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3142679,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(O)c1)C(c1ccccc1)c1ccccc1,160.0,6.8,CHEMBL808337,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(O)c1)C(c1ccccc1)c1ccccc1,True,0.5227245061734597
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3349684,N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,0.1,10.0,CHEMBL808337,N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,True,0.6061501712446973
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3142785,Cc1ccccc1CNC(=O)[C@@H]1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1,600.0,6.22,CHEMBL808337,Cc1ccccc1CNC(=O)[C@@H]1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1,True,0.5862136378029783
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3142678,Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1C,310.0,6.51,CHEMBL808337,Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1C,True,0.5639451735528522
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3142752,Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,100.0,7.0,CHEMBL808337,Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,True,0.5862136378029783
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL3142667,NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(c1ccccc1)c1ccccc1,130.0,6.89,CHEMBL808337,NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(c1ccccc1)c1ccccc1,True,0.6064307255365462
THROMBIN_F2,CHEMBL204,coagulation,CHEMBL273196,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,0.03,10.52,CHEMBL815795,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,True,0.16643896923733342
