SMILES,QED,MW,LogP,HBD,HBA
CC1CCN(C)C(CC2C3C45CC6CC4C35CN2C6O)C1,0.8387,288.44,1.765,1,3
CC1CC(CC2CC3C4CCC5C6CC7CCC6C7C5N4C23)CN1,0.8351,326.53,3.518,1,2
CC1(CC2CCCCO2)C2C(CCN)C1C13NCCC1C23,0.8339,290.45,2.155,2,3
CN1C2CCC3(CCCCC23)C2NC(C3CCCC3)C1C2CN,0.8227,317.52,2.745,2,3
CC12CCCOCC1NC2(C)C(O)CCCC1CCCCC1,0.8144,309.49,3.645,2,3
CC1CCC(CCC2C3C45CC4CC235)N2C1C1CCC34CCNC3CC4C12,0.8126,364.58,4.052,1,2
CC1CC(CCC2CCCN2C(C)N2C3CCCC3NCC23COC3)O1,0.8115,363.55,2.35,1,5
COC1CC2COC1CC2C1CCC(C2CCC3CC3C2)CNCNC1,0.8098,362.56,3.026,2,4
CCCC1CC1N1C(C)C2(CCN3C4C5CCNC5NCN4C32)C1C,0.8087,345.54,1.424,2,5
CC(C1CCN(C2NCCC3NCCC32)C1)C1CC2C1C1CC3CC3N12,0.8062,356.56,1.723,2,4
CCN1C(O)N2C3NC4N5CCC(C6CCCCCCCC6C)C42C315,0.7998,346.52,1.936,2,5
CC12CC13C2CC31CC2C(C3C4C5CCN6C5CCN4NN36)CC21,0.7946,324.47,1.856,1,4
C.CC(O)CC1C(C)CNC2CCC(CC2)N1C1CCCCC1CF,0.7944,356.57,4.143,2,3
CCCC12CC3C4C3(CC3C45C4C6CCCCC6NC46C47CN(C)C64C357)C1C2,0.7934,374.57,3.664,1,2
CCCC1CCN2CCC3CCNCC3N2C1.CN,0.7918,268.45,1.282,2,4
CN(C1CCCCCCCN1)C1(C)CCN2C3C4CCCC4NCN3C21,0.7891,361.58,2.35,2,5
CC1OC12CCCCNC1CC1C(CC1CC3C4C1C34)CC2,0.7882,301.47,3.604,1,2
C.CCCC1C2CCC34CC5CC6C78CC57C8C63C43C1C21C3C1(C)O,0.7875,336.52,4.492,1,1
C.CCC1C(C)NC2CC(C3C4CCCNCCCC43)CCC21,0.7852,320.57,4.451,2,2
CC1CC2C(C1)C1(N3CC4CC56C(C7CC8CCC875)C436)C2C1N1CCNN1,0.7829,364.54,1.845,2,4
CCC1CC2C(CC1NCC1OC1C)C1CCC3C4CNC34C12,0.7822,316.49,2.412,2,3
CCC1C2CC13C(C1CCNCC1)CCCCC23,0.7816,247.43,3.839,1,1
CCC1CCCC(C2CCC(O)C3C4C5C6CCCC5C64NC23C)C1,0.7803,343.56,4.367,2,2
C.CC(C)(C)C1NC(C2CCCOC2)C2CCNCCC21,0.7801,296.5,3.051,2,3
CCC(O)CC1CCC23CCCCCCC(C2)C13,0.7797,250.43,4.534,1,1
C.CCC1C(CCC2C3OS23C)C2NC(C)CC3C4NN4C132,0.7795,325.52,2.412,2,4
CCCC(O)C1CN2CC2C2C3C4C(C)CC5N6C4C6N3C125,0.7717,301.43,0.563,1,4
CCC(O)N1CCC2CC2CCC2NC2CCCCSC1,0.7694,312.52,3.038,2,4
CC1CCC(C2NCCC2C2CCCCC2)CC1,0.766,249.44,4.371,1,1
CCC1CC23CC(C4CNN(C)C4)CCC24CC2C(CC5OC52)CC3C14,0.7648,356.55,3.699,1,3
CNS1(O)OC1C1CCCN2C3CCCCCCCN3C2C1,0.7626,329.51,3.094,2,5
CC(C)N1C23CNCCCCCC4CC4CCCC2CC3C12C1CC12,0.7575,342.57,4.444,1,2
CCN1C(O)C(C2CCCCC2)CC2CCC(CC3NCC4CN43)CC21,0.7552,361.57,3.015,2,4
CC1(C)NN1CCN1C2CCCCCCCC21.CCCC1NC1C,0.7547,336.57,3.487,2,4
CCC1CCC2CC34C(CCCNCCCC5CC5CC1CN)C3N24,0.7539,345.58,3.383,2,3
C.CCCC1N2CCC3CCCC3C2NCC12CC2CCOC(C)C,0.7536,350.59,4.664,1,3
C.CCC(O)C1C2CCCCCCCC3C4C(CCC21C)N34,0.7533,307.52,4.605,1,2
CNC(C)C1CCCCCC1C1CNC2CC21C,0.7527,250.43,2.789,2,2
C.CC1CCC1CCCC1CC2C3NC3C3C4C5C(C)CC54CC23N1,0.7508,342.57,4.202,2,2
C.CCCCCN1C2CCC1C1C3C(NN1C2)C1CCCCCNCN13,0.7498,363.59,2.391,2,5
CCCCC1CCC(C2CNC3CNC4NCCC4C32)CC1,0.7473,305.51,2.726,3,3
CCCC(O)C1CNC2CCN3CC14CC15CC1CC5C3C24.N,0.7441,319.49,2.018,3,4
CC1CC2C(CNO)C3C(CCC45CCC(CC4)C35)C2C1C,0.744,303.49,4.336,2,2
CC1C(C)C12CN(C1CC(F)C1)C13CN(C4CC5CCCCN5N4)CN1C23,0.7426,375.54,1.817,1,5
C.OCNC1C2CCCCCC2C1C12C3CC4CCCCCC41C32,0.7424,331.54,4.573,2,2
CC12NNCC3C1N(CC1CCC(N4CC5CC5C4)CC1)CCCCCCCCN32,0.7406,415.67,3.03,2,5
C.CC1C(CCC2C3C2C3C2(C)CO2)C2NCCCCCCCNCC12,0.7401,362.6,4.078,2,3
CCCCCCC1C2C3C4CCC(NC)C(C)C4C34OCCC124,0.7398,317.52,4.242,1,2
CC(C)CC(C)NC(CC1CC1)C12C3CC4C5CC3C5C1C42,0.7377,299.5,4.327,1,1
CCC(O)N1C2CCC(C3CC4(CC56CCC5C6)CN5C3CNN54)C21C,0.7354,358.53,1.936,2,5
CCCC1CCCCC1C1(C)OC12C(C)C1C3C(C)CC(NC)C1C32,0.7347,345.57,4.877,1,2
CCC1NC2(N3CCC4CC4CC4C3C3C5CCC6(C(C)C46)C53)CCCCC12,0.7334,380.62,4.893,1,2
CCCC1CC1C(O)C(C)N1C2CCC3(CCCC4CC41CC)CC23,0.7324,345.57,4.995,1,2
CC(C)F.CC1C(CC2CNC(CCO)N2)C2CC12,0.7324,272.41,1.913,3,3
C.CC1CC12CCCC(CCNC1CCCN3C1C14C5C(C6C7C5N67)C1C34)CC2,0.7318,395.64,3.735,1,3
CCC(C)CCC1CC2(CCC3CNCC3N1)CC1N3C4CC5C(CC412)OC12CC1C532,0.7275,423.65,3.306,2,4
C.CC12CC1CCCCCCC2CNC1CCCC2NC2CC1,0.7266,320.56,4.882,2,2
C.CC1CC2OC(CCC1C(N)O)CC1CCCCCC12,0.7258,297.48,3.69,2,3
C.CC1CC2CC3C4N3C3CC45C2OC(N35)C12CO2.CCCCC,0.725,334.5,3.21,0,4
C.CCC(O)C1CCC2NCC(N)C3CCC4CCC3C(CC21)O4,0.724,338.54,2.683,3,4
CC1CN2C(C3CCC(F)CC3)C2C(N2CC3NCCC3(C)CCC2C)N1,0.7236,378.58,2.738,2,4
C.CC1CCC2CNC3C4CC56CC5CCCC46CN3CC2C1,0.7231,316.53,4.116,1,2
CCC(C)CCCC1CCCN(C)CC2CC3CCC(CC)C2C3CN1.O,0.7225,380.66,4.75,1,2
CCS(O)(O)CC12CCCNC3CCC4CCCC4C3C1C2,0.7225,327.53,4.342,3,3
