SMILES,QED,MW,LogP,HBD,HBA
CCC1(CC2CCC3C4C2C34)C(C)C2C3CCNC3NCN21,0.8371,301.48,2.244,2,3
CCC1CCC(C2C3C4CCC5C3CCN5N2N4)CC1,0.8358,275.44,2.789,1,3
CCCC(O)N1CCC2C(CCCC3C2CCC2CCCCN23)C1C,0.8259,348.58,4.249,1,3
C.CC.CCC1CNC(C)CC1CC1C(C)CC2CCNCN21,0.8181,325.59,4.093,2,3
CCCC(O)N1CC23CC4CCC5CCCC5N2N4C32CC2CC1O,0.8166,347.5,1.894,2,5
COC1CCC2NC(C34CC3CC3C(C)CCCCC34)CC2C1,0.8156,317.52,4.385,1,2
CC1CC1(C)NN1CCCC2C3CNN4CCCCC4CCC3C21,0.814,332.54,2.769,2,4
CC(N)C1C2C3CC4CC4C2N(C(C)CC2OC2(C)C)C31,0.8075,290.45,2.244,1,3
COC1CCC(C2CNC3NCC(C4CCCC5CC54)CC32)CC1OC,0.8067,362.56,3.024,2,4
CC1C(F)CCCC1C1CCCC2NC(CC3OC34CC4F)CN2C1,0.7872,354.49,3.43,1,3
CCCC1(O)CC2CC3C4CCC(CCC5CC6CC56)CNCC31C24,0.783,343.56,4.226,2,2
CCCCNC1C(C)C2OC(N)C2C2C3CC(C)CCC3CC12,0.7807,320.52,3.383,2,3
CC1CC1CCCC12CC3C4CC5C6C7CCN5NNN7CC36C4C1CC2C,0.7799,382.6,3.424,2,4
C.CC1CCCCC1C1C(O)NC23CCC4CC2N4CC13,0.7796,292.47,2.592,2,3
CCCC(O)N1C2CC3C(CC4C5CCCC5CCC4N4CCCC34)C21,0.7762,358.57,3.857,1,3
CCCC(N)C1C(CC)CCC2C3C4CCCCCC4C213,0.7747,289.51,4.993,1,1
C.CC1CCCC(C2SC(NC3CCCCC3)C23OC3N)C1,0.7732,326.55,3.866,2,4
C1CCC2C(C1)CC2CC1CCC2C(CCCN3NN4CNCCC4C23)C1,0.7727,372.6,3.754,2,4
C.CC1CCC2C1C21CCC2NC(C3C4C5CC5C34O)SC2C1,0.7702,333.54,3.495,2,3
C.CCCC1(O)C2CCC(C)C3C(C21)C1C2C4CC5C6CC7CC7C6N5C2C431,0.7653,381.6,4.419,1,2
C.CCC1CC12CCC1C3CC(CC45C6CN7CNN4C4NC47C65)CC132,0.7645,354.54,2.582,2,4
C.CCC(O)N1CCC(C2CCC(C3CC3)C3C2CC24C5CNCN2C5C34)CC1,0.7576,401.64,3.365,2,4
CC(CCC1CCC2C3C1C(C)NN23)C1CC2CCCCC2C2OC2N1,0.7559,359.56,3.282,2,4
CC1CNCC(NC2CCC3C4CC5(CCCC6CC64)CC3C5CC2)C1,0.7557,356.6,4.595,2,2
C.CCCC1CC1(CC)CC1CCC2C(C1)C1CN3C4NCN5NN3C2C5C14,0.7555,387.62,3.413,2,5
CCC(O)N1CCC(CCC2CC3C(CN4CC4C2)C2NC32)C1,0.7541,319.49,1.497,2,4
CC1CC1CC1CCCCC1C1CCCCC1CCN,0.7521,277.5,4.994,1,1
CC.CCC1ON1CCC1CC2CC3C4CCCCC4C34C1C21OC(N)C14,0.7513,374.57,4.148,1,4
CC1CCCC(NC2CCC3C4CCC5C6C7CCNC7CCN6C5C4N3C2)C1,0.7488,398.64,2.831,2,4
C.CCC(C)C1ON1CCC1C2CCC3CC3C2CC23NC2OC13N,0.7467,349.52,2.668,2,5
CCCC(O)NC12CC3C4CC5CCC6CCCCC6C5CC35C1C425,0.7462,341.54,4.326,2,2
CCCC(CC1CCC2C(CCN3C4CC5C2N3CN5CN4)C1)CC1CC1C,0.7419,386.63,4.095,1,4
CCC1CC2C(C1)C2C1CC2CN2C2NC3C4CC(C5CCCCC5)C3C412,0.7397,366.59,4.503,1,2
CCC1CC2C(CC3CC4CC5C(CN6CCCCC56)C5NC5C4C3)CC12,0.7396,368.61,4.546,1,2
CCCC(O)N(C)C1C2C3CC4C2C2(CC5C6CCC5C6NN32)C41.O,0.7393,347.5,0.832,2,4
CC(C)CC1NC(C)C(C2C(C)C3C2CC2CC24CCCNCC34)N1,0.735,345.58,3.216,3,3
CC1CC1CCC1CCC2C3C4CC5CC54C3C12C1CC2C3CCNC32C1,0.7318,363.59,5.109,1,1
CC1CC2C(C)C2C2CCC(CCC3CC4CCNCC5CNCC4C5C3)C12,0.73,384.65,4.802,2,2
CC1C2CCC3(CC(C4CC5CCCCCC54)CN3)C(C)C12,0.7288,301.52,4.863,1,1
CCC1CNCCC12CC1C3(CCCCC3)C13C1C3N1CN2,0.728,301.48,2.329,2,3
C.CC.CCCC1C2C(N)C(CC(C)Cl)N1C1C3CCCCNC3C21,0.7262,372.04,4.233,2,3
CN1CC2C3CC4CCCCC5C(C6C7C8C(C9CCCCC9)N8N67)CC45C32N1,0.7257,394.61,3.252,1,4
CCC1NC(C2CCCC(C3CC4CNNC4C4C5CC5CCC34)C2)O1,0.7238,359.56,3.25,3,4
C.C.CCCCC1CCC2C3CCCCC3CN2N1C,0.7225,282.52,4.949,0,2
CC(C)C1NC(C2CCCCCCCC2)C2C1N1C3NC21N3.Cl,0.7223,340.94,2.599,3,4
CC(NC1CCCC(C2CNN(C)C2)C1)N1CC2C3C4CC(F)CC(C21)C1C4C12CC32,0.7204,428.64,3.107,2,4
CCC(O)N1CCC2C34CC5C6CN6CN6N(C7CC576)C3C214,0.719,300.41,-0.123,1,5
CC1(C)C2CC3C4C3C4C3CNCC2CC31C1OC1C1CNC2CCCCN21,0.7181,383.58,2.301,2,4
C.CC1CC12OC2C1C2CC(C34NN5N6CNC7C3CCC7C654)CCC23CC13,0.7177,382.55,2.307,2,5
OC1CCCC2CC3C4C12C3(O)C41CC2C3CCC2N1CC3,0.7166,301.43,1.771,2,3
C.CC1C2C(NC3CCCNCN4C(CCC5C6CCC7CC76C54)C3)CCN12,0.7143,386.63,3.036,2,4
C.CC1CC2CCCC(CC(NC3CCCCCC3C)C1)N2,0.7104,308.55,4.88,2,2
CCC1ON1C1CCCC(C2CC(C3CNCC(C)C3)CC3NCCCC32)C1,0.7081,389.63,4.169,2,4
CC1NC(CN2CCCC3C4CCCCCCCCCC4C3C2)NC1CN,0.7072,376.63,3.32,3,4
CCCC1CN2CN(C3CCC4(C5C6CCC5NC6)CCC4C3)CCC2C1C1CC1,0.7059,411.68,4.723,1,3
CCCN(CC1CC2C(CC3CN32)N1)C1CC2CC3CC4CCCCCC4C3C21,0.7039,397.65,4.126,1,3
CC.CCC1ON1C1CCCC(C2CCCC3C2C2C4NCNCCC4C32)C1,0.7032,389.63,4.372,2,4
C1NCC2CC34C5C(C6CC6CC6C7CCC8CCNC876)CN3C5C4C2N1,0.7028,366.55,1.238,3,4
CCC(CC1CCC2C3C4CCCN4C23C1C)C1CCCC(NCO)C1,0.7027,360.59,4.01,2,3
CNC1C2C3C4CC5NCC6C(C)C6CCC54C3N1CC21CCC2OC21,0.7021,355.53,1.664,2,4
CCCC1C(CC)C2C(C3CC(C4CCCCNC4)CC4NCCCC43)CCN12,0.7009,401.68,4.67,2,3
CC1CCCCC1CCC1C(O)NC2CCCCC21.I,0.7009,393.35,4.308,2,2
C.CCC(O)N1CCC2C3CC4CCCCCNCC5C(N)OC5C43C21,0.6993,365.56,2.141,3,5
CCC(O)C1C2CC(C3CNC4NCC(Cl)C4C3)CC1C2C,0.6979,326.91,2.428,3,3
C.CC1CC1(O)CCCC1CC2CN2CC2C(C1)N1CC3CCCCCN3C21.N,0.697,406.66,3.705,2,5
COCC1CN2CCCN3CCN(C4CC5C(CN4)CN4CCCCC54)CC3C(C)C2C1C,0.6956,459.72,2.015,1,6
C.CC1C2CCC(CC3CCC4C(C3)N3NN5CNC6NCCC6C5C43)C12,0.6935,373.59,2.374,3,5
CC1CC2C(C1)C2CC1CCC(C2CCCC3NC(C4CCC5OC54)NN32)CC1,0.6929,399.62,4.267,2,4
C.CC(CC(C)C1C(C)CCCS1(O)O)C1C2C3NC4N1N1N2CCC341,0.6928,384.59,2.788,3,6
CCSC(O)NC1NC2CC3CCC4CC34CCCC2S1,0.6926,328.55,2.953,3,5
CC1NC2CCCCCCCC2NC1C1CCCCCNCC1,0.6906,321.55,3.588,3,3
CCCC1CC(N)C(CC(C)Cl)C1C1CC2C3CCCCC132,0.6904,323.95,5.21,1,1
CCCC1C(CCCC2CC2C)CCC2CC3C4C(C21)C1N2NN3C3NC43N12,0.6901,383.58,3.123,2,5
C.CC(C)C12C3CCC4CCNC4CC1C31C3C4C5C(CC6CC65)CC43CCN21,0.6877,394.65,4.792,1,2
CC1CN2C3CC4C(C5CCCCC5)C42[SH]13,0.6863,237.41,2.958,1,1
C.C1CC1.CCC(C)F.OCCCN1CC2C3C(CC4CCC5CNN6CC5C4C36)C21,0.6862,437.69,4.341,2,4
CCC1NC2(CCC3CC4C(CCC4C4CCCC4)NCNC3CC2F)O1,0.685,379.56,3.671,3,4
C.CCC1NC1C1CCC(C2NN3C4CNC5C(CCN53)C24)CC1,0.6841,333.52,1.533,3,5
CCCC(O)NC1CC23CC4CCCC4CNC2C2(CC)C1C32,0.6831,318.51,2.887,3,3
C.CC1CC2CCNCN2C1C1CCCNCNCC1,0.6829,282.48,1.589,3,4
CCCC1CCCCC2C34C(NCCC5C(NC1)C1COC1CC5(C)OC)C21C3C2C3C2C341,0.6828,452.68,3.845,2,4
CC1CN2C3CCC(C4CCCC45CCCCC5CF)NC3C2NCNC1C,0.6747,392.61,3.238,3,4
CCC1OC1CCC1CCN2CC3C4CCC5C(CC3C23CC2NN2CC3C1CC)C54,0.6729,425.66,4.119,1,4
C.CCC12COC1C1C3CCCCCCCCCCC4NC4CN3C1CC2OC,0.6716,406.66,4.76,1,4
CN(CC1C2CC(N)C1CN2)CC1C2CCCCC(Cl)C1C(N)C2,0.6709,354.97,1.614,3,4
CCN1CC2NC3CC(CCC4CCCCCC4)C4C(N)CC4N3C2N1,0.6707,361.58,2.239,3,5
CC1CC2C34CCNCNCCC(C5CCN(C67CCCC6C68CN6C78)C5)C3C24C1C,0.6702,422.66,2.752,2,4
CC1C(O)NC23CCC(C4CCC(CCCC5CN5)CC4)CC2CN13,0.6694,347.55,2.673,3,4
CCC(O)N1C2CC34C5C6CC78CCC(CC7C7NN7C6C53C4C21)OC81CCCCC1,0.6692,423.6,2.84,2,5
CCC1NC2C3CCCCCCCC3N2CC(C2CCCCC3CC3CN2)C1C,0.6691,401.68,5.16,2,3
CC12CCC(CCN)CC1N1CN3CNC3C13CCC1C(C4C5C6CCC6C54)CCCCC1N23,0.6669,465.73,3.607,2,5
CCOC(C)C1CNC2NCNC3(C4CCC3C(C3OC35CC5C)C4)C21,0.6655,361.53,1.686,3,5
